INFO:tensorflow:step: 20, lr: 0.000998, klw: 0.0110, cost: 1.0984, recon: 1.0869, kl: 1.0531, train_time_taken: 10.1580
INFO:tensorflow:step: 40, lr: 0.000996, klw: 0.0120, cost: 0.8633, recon: 0.8535, kl: 0.8271, train_time_taken: 8.4753
INFO:tensorflow:step: 60, lr: 0.000995, klw: 0.0129, cost: 0.7651, recon: 0.7473, kl: 1.3769, train_time_taken: 8.3691
INFO:tensorflow:step: 80, lr: 0.000993, klw: 0.0139, cost: 0.7426, recon: 0.7221, kl: 1.4734, train_time_taken: 8.3441
INFO:tensorflow:step: 100, lr: 0.000991, klw: 0.0149, cost: 0.6592, recon: 0.6387, kl: 1.3758, train_time_taken: 8.1518
INFO:tensorflow:step: 120, lr: 0.000989, klw: 0.0158, cost: 0.6041, recon: 0.5827, kl: 1.3513, train_time_taken: 8.3643
INFO:tensorflow:step: 140, lr: 0.000987, klw: 0.0168, cost: 0.5552, recon: 0.5327, kl: 1.3356, train_time_taken: 8.5657
INFO:tensorflow:step: 160, lr: 0.000986, klw: 0.0178, cost: 0.5465, recon: 0.5216, kl: 1.3959, train_time_taken: 8.2753
INFO:tensorflow:step: 180, lr: 0.000984, klw: 0.0187, cost: 0.5254, recon: 0.4999, kl: 1.3631, train_time_taken: 8.2334
INFO:tensorflow:step: 200, lr: 0.000982, klw: 0.0197, cost: 0.5285, recon: 0.5034, kl: 1.2696, train_time_taken: 8.7005
INFO:tensorflow:step: 220, lr: 0.000980, klw: 0.0207, cost: 0.4676, recon: 0.4432, kl: 1.1839, train_time_taken: 8.4260
INFO:tensorflow:step: 240, lr: 0.000979, klw: 0.0216, cost: 0.4806, recon: 0.4534, kl: 1.2579, train_time_taken: 8.4375
INFO:tensorflow:step: 260, lr: 0.000977, klw: 0.0226, cost: 0.4221, recon: 0.3977, kl: 1.0832, train_time_taken: 8.3701
INFO:tensorflow:step: 280, lr: 0.000975, klw: 0.0235, cost: 0.4610, recon: 0.4341, kl: 1.1433, train_time_taken: 8.3160
INFO:tensorflow:step: 300, lr: 0.000973, klw: 0.0245, cost: 0.3621, recon: 0.3373, kl: 1.0100, train_time_taken: 8.6016
INFO:tensorflow:step: 320, lr: 0.000972, klw: 0.0254, cost: 0.3934, recon: 0.3653, kl: 1.1050, train_time_taken: 8.6188
INFO:tensorflow:step: 340, lr: 0.000970, klw: 0.0264, cost: 0.3828, recon: 0.3550, kl: 1.0545, train_time_taken: 8.5352
INFO:tensorflow:step: 360, lr: 0.000968, klw: 0.0273, cost: 0.3973, recon: 0.3690, kl: 1.0354, train_time_taken: 8.5613
INFO:tensorflow:step: 380, lr: 0.000966, klw: 0.0283, cost: 0.3931, recon: 0.3636, kl: 1.0444, train_time_taken: 8.5321
INFO:tensorflow:step: 400, lr: 0.000965, klw: 0.0292, cost: 0.3789, recon: 0.3485, kl: 1.0388, train_time_taken: 8.3557
INFO:tensorflow:step: 420, lr: 0.000963, klw: 0.0302, cost: 0.3599, recon: 0.3288, kl: 1.0289, train_time_taken: 8.3894
INFO:tensorflow:step: 440, lr: 0.000961, klw: 0.0311, cost: 0.3780, recon: 0.3459, kl: 1.0340, train_time_taken: 8.2672
INFO:tensorflow:step: 460, lr: 0.000960, klw: 0.0320, cost: 0.3212, recon: 0.2897, kl: 0.9852, train_time_taken: 8.2096
INFO:tensorflow:step: 480, lr: 0.000958, klw: 0.0330, cost: 0.3172, recon: 0.2867, kl: 0.9262, train_time_taken: 8.7253
INFO:tensorflow:step: 500, lr: 0.000956, klw: 0.0339, cost: 0.3241, recon: 0.2918, kl: 0.9529, train_time_taken: 8.0219
INFO:tensorflow:step: 520, lr: 0.000954, klw: 0.0348, cost: 0.3024, recon: 0.2701, kl: 0.9273, train_time_taken: 8.3239
INFO:tensorflow:step: 540, lr: 0.000953, klw: 0.0358, cost: 0.3409, recon: 0.3073, kl: 0.9407, train_time_taken: 8.5704
INFO:tensorflow:step: 560, lr: 0.000951, klw: 0.0367, cost: 0.2897, recon: 0.2583, kl: 0.8548, train_time_taken: 8.2204
INFO:tensorflow:step: 580, lr: 0.000949, klw: 0.0376, cost: 0.3153, recon: 0.2813, kl: 0.9039, train_time_taken: 8.2321
