INFO:tensorflow:step: 20, lr: 0.000998, klw: 0.0110, cost: 0.9672, recon: 0.9650, kl: 0.2000, train_time_taken: 11.1502
INFO:tensorflow:step: 40, lr: 0.000996, klw: 0.0120, cost: 0.8582, recon: 0.8559, kl: 0.2000, train_time_taken: 8.5539
INFO:tensorflow:step: 60, lr: 0.000995, klw: 0.0129, cost: 0.7849, recon: 0.7808, kl: 0.3199, train_time_taken: 9.0177
INFO:tensorflow:step: 80, lr: 0.000993, klw: 0.0139, cost: 0.7425, recon: 0.7371, kl: 0.3883, train_time_taken: 8.5038
INFO:tensorflow:step: 100, lr: 0.000991, klw: 0.0149, cost: 0.6490, recon: 0.6413, kl: 0.5197, train_time_taken: 8.7380
INFO:tensorflow:step: 120, lr: 0.000989, klw: 0.0158, cost: 0.6067, recon: 0.5998, kl: 0.4388, train_time_taken: 8.8566
INFO:tensorflow:step: 140, lr: 0.000987, klw: 0.0168, cost: 0.5517, recon: 0.5452, kl: 0.3901, train_time_taken: 8.7618
INFO:tensorflow:step: 160, lr: 0.000986, klw: 0.0178, cost: 0.5098, recon: 0.5008, kl: 0.5092, train_time_taken: 8.9222
INFO:tensorflow:step: 180, lr: 0.000984, klw: 0.0187, cost: 0.4762, recon: 0.4673, kl: 0.4782, train_time_taken: 8.7262
INFO:tensorflow:step: 200, lr: 0.000982, klw: 0.0197, cost: 0.4544, recon: 0.4454, kl: 0.4591, train_time_taken: 8.7183
INFO:tensorflow:step: 220, lr: 0.000980, klw: 0.0207, cost: 0.4354, recon: 0.4254, kl: 0.4812, train_time_taken: 8.7997
INFO:tensorflow:step: 240, lr: 0.000979, klw: 0.0216, cost: 0.3977, recon: 0.3879, kl: 0.4547, train_time_taken: 8.6970
INFO:tensorflow:step: 260, lr: 0.000977, klw: 0.0226, cost: 0.3747, recon: 0.3651, kl: 0.4231, train_time_taken: 8.7432
INFO:tensorflow:step: 280, lr: 0.000975, klw: 0.0235, cost: 0.3951, recon: 0.3853, kl: 0.4188, train_time_taken: 8.6533
