INFO:tensorflow:step: 880, lr: 0.000924, klw: 0.0513, cost: 0.3261, recon: 0.2700, kl: 1.0932, train_time_taken: 8.3076
INFO:tensorflow:step: 900, lr: 0.000923, klw: 0.0522, cost: 0.3415, recon: 0.2893, kl: 1.0008, train_time_taken: 8.4619
INFO:tensorflow:step: 920, lr: 0.000921, klw: 0.0531, cost: 0.3157, recon: 0.2640, kl: 0.9745, train_time_taken: 8.2772
INFO:tensorflow:step: 940, lr: 0.000919, klw: 0.0540, cost: 0.3360, recon: 0.2844, kl: 0.9560, train_time_taken: 8.3719
INFO:tensorflow:step: 960, lr: 0.000918, klw: 0.0549, cost: 0.3228, recon: 0.2723, kl: 0.9209, train_time_taken: 8.5642
INFO:tensorflow:step: 980, lr: 0.000916, klw: 0.0557, cost: 0.3860, recon: 0.3357, kl: 0.9016, train_time_taken: 8.2926
INFO:tensorflow:step: 1000, lr: 0.000914, klw: 0.0566, cost: 0.2834, recon: 0.2350, kl: 0.8544, train_time_taken: 8.5190
INFO:tensorflow:step: 1020, lr: 0.000913, klw: 0.0575, cost: 0.3218, recon: 0.2731, kl: 0.8474, train_time_taken: 8.4301
INFO:tensorflow:step: 1040, lr: 0.000911, klw: 0.0584, cost: 0.3139, recon: 0.2652, kl: 0.8336, train_time_taken: 8.6072
INFO:tensorflow:step: 1060, lr: 0.000909, klw: 0.0593, cost: 0.3566, recon: 0.3074, kl: 0.8290, train_time_taken: 8.1975
INFO:tensorflow:step: 1080, lr: 0.000908, klw: 0.0602, cost: 0.2893, recon: 0.2377, kl: 0.8570, train_time_taken: 8.5654
INFO:tensorflow:step: 1100, lr: 0.000906, klw: 0.0610, cost: 0.3258, recon: 0.2759, kl: 0.8162, train_time_taken: 8.5038
INFO:tensorflow:step: 1120, lr: 0.000905, klw: 0.0619, cost: 0.2579, recon: 0.2097, kl: 0.7791, train_time_taken: 8.4979
INFO:tensorflow:step: 1140, lr: 0.000903, klw: 0.0628, cost: 0.2938, recon: 0.2465, kl: 0.7540, train_time_taken: 8.4488
INFO:tensorflow:step: 1160, lr: 0.000901, klw: 0.0637, cost: 0.3108, recon: 0.2651, kl: 0.7172, train_time_taken: 8.4707
INFO:tensorflow:step: 1180, lr: 0.000900, klw: 0.0645, cost: 0.2813, recon: 0.2355, kl: 0.7100, train_time_taken: 8.4088
INFO:tensorflow:step: 1200, lr: 0.000898, klw: 0.0654, cost: 0.3152, recon: 0.2660, kl: 0.7517, train_time_taken: 8.6230
INFO:tensorflow:step: 1220, lr: 0.000897, klw: 0.0663, cost: 0.3562, recon: 0.3074, kl: 0.7369, train_time_taken: 8.4460
INFO:tensorflow:step: 1240, lr: 0.000895, klw: 0.0671, cost: 0.3099, recon: 0.2606, kl: 0.7337, train_time_taken: 8.4622
INFO:tensorflow:step: 1260, lr: 0.000893, klw: 0.0680, cost: 0.2914, recon: 0.2442, kl: 0.6936, train_time_taken: 8.2624
INFO:tensorflow:step: 1280, lr: 0.000892, klw: 0.0689, cost: 0.2267, recon: 0.1780, kl: 0.7064, train_time_taken: 8.6114
INFO:tensorflow:step: 1300, lr: 0.000890, klw: 0.0697, cost: 0.2675, recon: 0.2204, kl: 0.6764, train_time_taken: 8.6141
INFO:tensorflow:step: 1320, lr: 0.000889, klw: 0.0706, cost: 0.3212, recon: 0.2758, kl: 0.6436, train_time_taken: 8.3672
INFO:tensorflow:step: 1340, lr: 0.000887, klw: 0.0715, cost: 0.3028, recon: 0.2536, kl: 0.6881, train_time_taken: 8.4822
INFO:tensorflow:step: 1360, lr: 0.000886, klw: 0.0723, cost: 0.2738, recon: 0.2296, kl: 0.6114, train_time_taken: 8.3497
INFO:tensorflow:step: 1380, lr: 0.000884, klw: 0.0732, cost: 0.2879, recon: 0.2396, kl: 0.6611, train_time_taken: 8.4904
INFO:tensorflow:step: 1400, lr: 0.000882, klw: 0.0740, cost: 0.3046, recon: 0.2590, kl: 0.6159, train_time_taken: 8.4616
INFO:tensorflow:step: 1420, lr: 0.000881, klw: 0.0749, cost: 0.2954, recon: 0.2516, kl: 0.5856, train_time_taken: 8.5796
INFO:tensorflow:step: 1440, lr: 0.000879, klw: 0.0757, cost: 0.2690, recon: 0.2247, kl: 0.5852, train_time_taken: 8.5197
INFO:tensorflow:step: 1460, lr: 0.000878, klw: 0.0766, cost: 0.2474, recon: 0.2028, kl: 0.5832, train_time_taken: 8.4379
INFO:tensorflow:step: 1480, lr: 0.000876, klw: 0.0774, cost: 0.2749, recon: 0.2311, kl: 0.5665, train_time_taken: 8.5724
INFO:tensorflow:step: 1500, lr: 0.000875, klw: 0.0783, cost: 0.2698, recon: 0.2243, kl: 0.5814, train_time_taken: 8.5849
INFO:tensorflow:step: 1520, lr: 0.000873, klw: 0.0791, cost: 0.2933, recon: 0.2492, kl: 0.5582, train_time_taken: 8.4376
INFO:tensorflow:step: 1540, lr: 0.000872, klw: 0.0799, cost: 0.2690, recon: 0.2252, kl: 0.5476, train_time_taken: 8.4863
INFO:tensorflow:step: 1560, lr: 0.000870, klw: 0.0808, cost: 0.2561, recon: 0.2168, kl: 0.4872, train_time_taken: 8.3516
INFO:tensorflow:step: 1580, lr: 0.000868, klw: 0.0816, cost: 0.2851, recon: 0.2453, kl: 0.4883, train_time_taken: 8.3084
INFO:tensorflow:step: 1600, lr: 0.000867, klw: 0.0825, cost: 0.2079, recon: 0.1680, kl: 0.4839, train_time_taken: 8.6489
INFO:tensorflow:step: 1620, lr: 0.000865, klw: 0.0833, cost: 0.2320, recon: 0.1911, kl: 0.4904, train_time_taken: 8.5477
INFO:tensorflow:step: 1640, lr: 0.000864, klw: 0.0841, cost: 0.2428, recon: 0.2022, kl: 0.4826, train_time_taken: 8.4082
INFO:tensorflow:step: 1660, lr: 0.000862, klw: 0.0850, cost: 0.2476, recon: 0.2062, kl: 0.4875, train_time_taken: 8.5851
INFO:tensorflow:step: 1680, lr: 0.000861, klw: 0.0858, cost: 0.2732, recon: 0.2346, kl: 0.4499, train_time_taken: 8.6319
INFO:tensorflow:step: 1700, lr: 0.000859, klw: 0.0866, cost: 0.2314, recon: 0.1916, kl: 0.4597, train_time_taken: 8.4809
INFO:tensorflow:step: 1720, lr: 0.000858, klw: 0.0874, cost: 0.2959, recon: 0.2552, kl: 0.4662, train_time_taken: 8.5350
INFO:tensorflow:step: 1740, lr: 0.000856, klw: 0.0883, cost: 0.2843, recon: 0.2460, kl: 0.4332, train_time_taken: 8.6416
INFO:tensorflow:step: 1760, lr: 0.000855, klw: 0.0891, cost: 0.2070, recon: 0.1697, kl: 0.4186, train_time_taken: 8.5447
INFO:tensorflow:step: 1780, lr: 0.000853, klw: 0.0899, cost: 0.2332, recon: 0.1939, kl: 0.4378, train_time_taken: 8.4820
INFO:tensorflow:step: 1800, lr: 0.000852, klw: 0.0907, cost: 0.2697, recon: 0.2348, kl: 0.3848, train_time_taken: 8.6438
