INFO:tensorflow:step: 20, lr: 0.000998, klw: 0.0110, cost: 0.8390, recon: 0.8366, kl: 0.2190, train_time_taken: 9.3658
INFO:tensorflow:step: 40, lr: 0.000996, klw: 0.0120, cost: 0.9242, recon: 0.9189, kl: 0.4386, train_time_taken: 9.0531
INFO:tensorflow:step: 60, lr: 0.000995, klw: 0.0129, cost: 0.7196, recon: 0.7098, kl: 0.7558, train_time_taken: 8.9001
INFO:tensorflow:step: 80, lr: 0.000993, klw: 0.0139, cost: 0.6957, recon: 0.6838, kl: 0.8553, train_time_taken: 8.1878
INFO:tensorflow:step: 100, lr: 0.000991, klw: 0.0149, cost: 0.6458, recon: 0.6326, kl: 0.8897, train_time_taken: 8.4892
INFO:tensorflow:step: 120, lr: 0.000989, klw: 0.0158, cost: 0.5931, recon: 0.5801, kl: 0.8157, train_time_taken: 8.7489
INFO:tensorflow:step: 140, lr: 0.000987, klw: 0.0168, cost: 0.5786, recon: 0.5643, kl: 0.8509, train_time_taken: 8.5304
INFO:tensorflow:step: 160, lr: 0.000986, klw: 0.0178, cost: 0.5541, recon: 0.5378, kl: 0.9192, train_time_taken: 8.8174
INFO:tensorflow:step: 180, lr: 0.000984, klw: 0.0187, cost: 0.5792, recon: 0.5612, kl: 0.9559, train_time_taken: 8.6424
INFO:tensorflow:step: 200, lr: 0.000982, klw: 0.0197, cost: 0.4908, recon: 0.4729, kl: 0.9093, train_time_taken: 8.4439
INFO:tensorflow:step: 220, lr: 0.000980, klw: 0.0207, cost: 0.4436, recon: 0.4262, kl: 0.8406, train_time_taken: 8.7647
INFO:tensorflow:step: 240, lr: 0.000979, klw: 0.0216, cost: 0.4084, recon: 0.3900, kl: 0.8487, train_time_taken: 8.5005
INFO:tensorflow:step: 260, lr: 0.000977, klw: 0.0226, cost: 0.3722, recon: 0.3559, kl: 0.7247, train_time_taken: 8.7234
INFO:tensorflow:step: 280, lr: 0.000975, klw: 0.0235, cost: 0.3910, recon: 0.3717, kl: 0.8190, train_time_taken: 8.5691
INFO:tensorflow:step: 300, lr: 0.000973, klw: 0.0245, cost: 0.3704, recon: 0.3523, kl: 0.7407, train_time_taken: 8.9988
INFO:tensorflow:step: 320, lr: 0.000972, klw: 0.0254, cost: 0.3604, recon: 0.3415, kl: 0.7396, train_time_taken: 8.5908
INFO:tensorflow:step: 340, lr: 0.000970, klw: 0.0264, cost: 0.3553, recon: 0.3352, kl: 0.7637, train_time_taken: 8.4398
INFO:tensorflow:step: 360, lr: 0.000968, klw: 0.0273, cost: 0.3409, recon: 0.3223, kl: 0.6819, train_time_taken: 8.5977
